Year,Modality,Publications
1990,Visual,4
1990,Auditory,0
1990,Olfactory,0
1990,Gustatory,0
1990,Tactile,0
1991,Visual,8
1991,Auditory,3
1991,Olfactory,3
1991,Gustatory,0
1991,Tactile,0
1992,Visual,6
1992,Auditory,0
1992,Olfactory,0
1992,Gustatory,0
1992,Tactile,1
1993,Visual,10
1993,Auditory,4
1993,Olfactory,1
1993,Gustatory,0
1993,Tactile,0
1994,Visual,11
1994,Auditory,2
1994,Olfactory,0
1994,Gustatory,0
1994,Tactile,1
1995,Visual,14
1995,Auditory,2
1995,Olfactory,1
1995,Gustatory,1
1995,Tactile,0
1996,Visual,8
1996,Auditory,3
1996,Olfactory,3
1996,Gustatory,0
1996,Tactile,1
1997,Visual,23
1997,Auditory,6
1997,Olfactory,1
1997,Gustatory,0
1997,Tactile,1
1998,Visual,30
1998,Auditory,9
1998,Olfactory,3
1998,Gustatory,0
1998,Tactile,0
1999,Visual,29
1999,Auditory,4
1999,Olfactory,2
1999,Gustatory,1
1999,Tactile,4
2000,Visual,37
2000,Auditory,8
2000,Olfactory,1
2000,Gustatory,0
2000,Tactile,3
2001,Visual,38
2001,Auditory,11
2001,Olfactory,4
2001,Gustatory,3
2001,Tactile,2
2002,Visual,35
2002,Auditory,6
2002,Olfactory,1
2002,Gustatory,0
2002,Tactile,3
2003,Visual,48
2003,Auditory,5
2003,Olfactory,5
2003,Gustatory,1
2003,Tactile,3
2004,Visual,78
2004,Auditory,11
2004,Olfactory,2
2004,Gustatory,1
2004,Tactile,6
2005,Visual,95
2005,Auditory,18
2005,Olfactory,4
2005,Gustatory,2
2005,Tactile,4
2006,Visual,79
2006,Auditory,16
2006,Olfactory,3
2006,Gustatory,2
2006,Tactile,3
2007,Visual,76
2007,Auditory,18
2007,Olfactory,6
2007,Gustatory,2
2007,Tactile,10
2008,Visual,90
2008,Auditory,21
2008,Olfactory,5
2008,Gustatory,2
2008,Tactile,8
2009,Visual,110
2009,Auditory,28
2009,Olfactory,7
2009,Gustatory,2
2009,Tactile,13
2010,Visual,136
2010,Auditory,24
2010,Olfactory,6
2010,Gustatory,3
2010,Tactile,15
2011,Visual,113
2011,Auditory,29
2011,Olfactory,9
2011,Gustatory,0
2011,Tactile,11
2012,Visual,131
2012,Auditory,23
2012,Olfactory,7
2012,Gustatory,2
2012,Tactile,9
2013,Visual,143
2013,Auditory,34
2013,Olfactory,11
2013,Gustatory,6
2013,Tactile,12
2014,Visual,166
2014,Auditory,35
2014,Olfactory,9
2014,Gustatory,2
2014,Tactile,19
2015,Visual,144
2015,Auditory,38
2015,Olfactory,13
2015,Gustatory,3
2015,Tactile,12
2016,Visual,145
2016,Auditory,36
2016,Olfactory,15
2016,Gustatory,3
2016,Tactile,12
2017,Visual,154
2017,Auditory,37
2017,Olfactory,10
2017,Gustatory,7
2017,Tactile,11
2018,Visual,134
2018,Auditory,30
2018,Olfactory,20
2018,Gustatory,4
2018,Tactile,12
2019,Visual,137
2019,Auditory,31
2019,Olfactory,14
2019,Gustatory,2
2019,Tactile,15
2020,Visual,140
2020,Auditory,39
2020,Olfactory,17
2020,Gustatory,5
2020,Tactile,15
2021,Visual,126
2021,Auditory,30
2021,Olfactory,13
2021,Gustatory,4
2021,Tactile,13
2022,Visual,102
2022,Auditory,24
2022,Olfactory,16
2022,Gustatory,4
2022,Tactile,16
2023,Visual,93
2023,Auditory,25
2023,Olfactory,18
2023,Gustatory,1
2023,Tactile,18
2024,Visual,109
2024,Auditory,35
2024,Olfactory,20
2024,Gustatory,1
2024,Tactile,13
